Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2026-05-30 23:46:18,false,"Running","0.00","--","00:00:05.0","--","--","--","--","--","--","--","--","--","0.0","--","No","00:00:01.3","3","00:00:00","00:00:05.0","280","280"
Running,2026-05-28 20:23:12,false,"Allschwil Running","8.10","566","01:05:19","145","171","141","204","8:04","4:38","129","114","0.88","0.0","9,258","No","00:00:41.5","9","01:05:15","01:06:26","293","408"
Running,2026-05-26 21:21:56,false,"Basel Running","6.55","422","00:49:22","139","156","137","221","7:32","5:09","24","28","0.96","0.0","6,778","No","00:04:18.3","7","00:48:55","00:52:17","272","300"
Running,2026-05-24 16:18:03,false,"Allschwil Running","12.45","857","01:46:17","146","170","135","155","8:32","6:06","179","178","0.86","0.0","14,570","No","00:03:28.3","13","01:46:02","01:51:48","296","418"
Running,2026-05-19 20:21:05,false,"Basel Running","7.07","473","00:53:41","141","153","146","159","7:36","4:46","39","39","0.89","0.0","7,910","No","00:00:34.7","8","00:53:31","00:54:13","277","319"
Running,2026-05-17 17:16:14,false,"Allschwil Running","6.62","459","00:51:05","146","160","144","189","7:43","6:00","102","111","0.90","0.0","7,358","No","00:04:14.0","7","00:50:55","00:53:44","313","423"
Running,2026-05-17 16:27:18,false,"Allschwil Running","0.26","15","00:01:47.7","130","150","130","147","6:49","6:06","8","--","1.13","0.0","244","No","00:01:47.7","1","00:01:44","00:01:47.7","296","299"
Running,2026-05-15 19:39:46,false,"Binningen Running","7.02","467","00:52:20","145","162","146","158","7:27","5:14","122","111","0.92","0.0","7,620","No","00:00:07.0","8","00:52:09","00:56:54","292","405"
Running,2026-04-27 15:12:22,false,"Allschwil Running","3.50","246","00:21:12","172","195","152","162","6:04","4:42","57","55","1.08","0.0","3,214","No","00:02:36.2","4","00:21:11","00:21:12","280","336"
Running,2026-04-23 19:38:33,false,"Binningen Running","7.99","568","01:03:30","151","165","146","160","7:57","5:38","122","119","0.87","0.0","9,280","No","00:07:25.3","8","01:03:16","01:07:04","291","411"
Running,2026-03-09 10:23:05,false,"Basel Running","12.01","812","01:27:12","144","162","147","179","7:16","5:46","125","130","0.93","0.0","12,816","No","00:00:05.3","13","01:26:52","01:29:06","278","407"
Running,2026-03-05 12:22:25,false,"Windisch Running","5.03","347","00:36:24","147","159","148","162","7:14","4:38","26","25","0.94","0.0","5,374","No","00:00:08.4","6","00:36:23","00:36:24","333","353"
Running,2026-03-04 16:42:33,false,"Basel Running","2.14","121","00:12:30","149","181","133","180","5:50","3:29","6","35","1.23","0.0","1,726","No","00:00:02.4","9","00:12:28","00:13:17","276","282"
Running,2026-03-03 17:36:43,false,"Basel Running","7.01","500","00:49:30","153","165","147","158","7:04","5:40","45","39","0.97","0.0","7,244","No","00:00:03.3","8","00:49:23","00:50:39","271","315"
Running,2026-02-22 12:35:28,false,"Basel Running","5.18","341","00:33:56","146","161","151","157","6:33","5:11","22","17","1.01","0.0","5,078","No","00:01:13.3","6","00:33:54","00:33:56","278","300"
Running,2026-01-31 14:47:09,false,"Binningen Running","2.73","183","00:17:10","156","171","150","179","6:17","5:12","2","26","1.06","0.0","2,576","No","00:05:18.1","3","00:16:58","00:30:39","272","312"
Running,2026-01-31 13:11:45,false,"Basel Running","11.76","798","01:24:05","148","164","149","227","7:09","5:32","156","142","0.94","0.0","12,506","No","00:04:50.7","12","01:23:48","01:34:23","275","425"
Running,2026-01-18 16:07:38,false,"Basel Running","11.57","830","01:22:11","153","169","149","187","7:06","5:18","138","116","0.95","0.0","12,188","No","00:04:10.4","12","01:21:56","01:29:34","276","414"
Running,2026-01-15 15:26:53,false,"Basel Running","7.03","516","00:43:23","169","181","149","189","6:10","5:02","46","58","1.09","0.0","6,458","No","00:00:08.8","8","00:43:15","00:43:58","277","324"
Running,2026-01-04 17:09:20,false,"Basel Running","4.89","341","00:32:12","152","176","148","197","6:35","5:17","23","16","1.03","0.0","4,758","No","00:05:53.0","5","00:32:09","00:37:53","278","307"
Running,2025-12-25 16:47:27,false,"Basel Running","7.40","522","00:50:03","150","169","151","160","6:46","5:22","58","52","0.98","0.0","7,562","No","00:02:34.8","8","00:49:57","00:51:15","279","341"
Running,2025-12-23 16:10:22,false,"Basel Running","6.90","474","00:44:32","153","175","150","168","6:27","4:51","48","47","1.03","0.0","6,660","No","00:05:26.3","7","00:44:29","00:50:16","274","334"
Running,2025-12-09 15:28:32,false,"Basel Running","5.14","353","00:28:21","168","177","156","166","5:31","4:31","20","13","1.16","0.0","4,430","No","00:00:44.5","6","00:28:14","00:28:39","278","300"
Running,2025-12-03 16:14:37,false,"Basel Running","9.28","670","00:59:31","156","169","152","188","6:25","5:01","78","79","1.02","0.0","9,034","No","00:01:46.7","10","00:59:23","01:03:45","278","350"
Running,2025-11-30 12:54:10,false,"Basel Running","14.78","993","01:39:14","149","168","150","166","6:43","0:36","176","166","0.99","0.0","14,932","No","00:04:33.6","15","01:38:54","01:50:00","278","429"
Running,2025-11-23 11:49:57,false,"Basel Running","11.77","786","01:16:47","148","165","151","164","6:31","4:54","133","121","1.02","0.0","11,550","No","00:04:37.0","12","01:16:38","01:16:50","275","410"
Running,2025-11-16 12:06:09,false,"Basel Running","10.02","662","01:01:21","153","178","149","173","6:08","4:38","84","99","1.09","0.0","9,202","No","00:00:03.5","11","01:01:14","01:08:56","276","375"
Running,2025-11-14 16:08:32,false,"Basel Running","6.61","452","00:42:04","150","162","151","158","6:22","4:45","38","38","1.04","0.0","6,302","No","00:03:57.6","7","00:42:00","00:43:55","267","307"
Running,2025-11-12 16:56:09,false,"Basel Running","4.92","314","00:28:29","160","187","141","230","5:47","3:40","23","15","1.19","0.0","4,080","No","00:00:03.4","16","00:28:25","00:29:28","278","301"
Running,2025-11-08 14:05:14,false,"Basel Running","14.00","946","01:37:06","147","166","142","178","6:56","5:01","152","153","1.00","0.0","14,012","No","00:05:51.0","14","01:36:52","01:41:07","278","430"
Running,2025-11-02 14:07:54,false,"Binningen Running","15.00","1,046","01:56:36","142","160","139","213","7:46","0:41","256","261","0.93","0.0","16,454","No","00:06:18.6","15","01:56:06","02:02:20","278","404"
Running,2025-10-30 17:09:27,false,"Basel Running","4.82","291","00:28:16","153","185","140","213","5:52","3:22","18","16","1.18","0.0","4,030","No","00:00:15.9","14","00:28:11","00:30:26","254","274"
Running,2025-10-28 17:12:17,false,"Basel Running","6.45","459","00:46:56","147","167","145","164","7:17","4:54","32","31","0.95","0.0","6,866","No","00:03:13.8","7","00:46:52","00:47:42","275","309"
Running,2025-10-23 18:22:04,false,"Basel Running","7.02","509","00:50:28","150","168","148","160","7:11","5:13","27","26","0.94","0.0","7,542","No","00:00:07.9","8","00:50:18","00:50:56","266","292"
Running,2025-10-22 17:42:48,false,"Basel Running","4.77","328","00:27:15","167","191","140","232","5:43","3:21","15","12","1.22","0.0","3,872","No","00:00:11.6","15","00:27:03","00:28:48","278","297"
Running,2025-10-21 17:51:47,false,"Basel Running","6.82","483","00:49:21","146","162","147","160","7:14","4:49","35","52","0.94","0.0","7,258","No","00:06:08.5","7","00:49:06","00:50:02","278","320"
Running,2025-10-12 16:49:58,false,"Basel Running","9.73","674","01:07:15","147","164","148","195","6:55","5:12","78","77","0.98","0.0","9,880","No","00:04:38.2","10","01:07:09","01:07:57","278","358"
Running,2025-10-09 18:43:38,false,"Basel Running","6.13","388","00:35:50","158","191","137","227","5:51","3:09","29","26","1.20","0.0","5,026","No","00:00:21.4","21","00:35:35","00:37:24","263","293"
