Activity Type;Date;Favorite;Title;Distance;Calories;Time;Avg HR;Max HR;Aerobic TE;Avg Run Cadence;Max Run Cadence;Avg Pace;Best Pace;Total Ascent;Total Descent;Avg Stride Length;Training Stress Score®;Steps;Min Temp;Decompression;Best Lap Time;Number of Laps;Max Temp;Moving Time;Elapsed Time;Min Elevation;Max Elevation
Running;11.07.2025 16:58;FALSE;Basel Running;5.91;473;00:36:52;164;187;3.9;142;233;6:14;3:34;25;26;1.10;0;5,320;30;No;00:01:29;15;33;00:36:45;00:36:57;263;286
Cycling;10.07.2025 09:11;FALSE;Basel Cycling;2.31;81;00:07:57;132;148;1.4;--;--;17.4;32.5;18;7;--;0;--;24;No;00:07:57;1;25;00:07:11;00:07:57;271;289
Running;04.07.2025 21:06;FALSE;Basel Running;6.46;499;00:41:12;157;184;3.3;143;180;6:23;3:25;38;32;1.07;0;5,972;26;No;00:01:11;14;33;00:41:09;01:09:07;269;303
Cycling;03.07.2025 09:46;FALSE;Basel Cycling;7.29;168;00:23:28;116;140;1.1;--;--;18.6;36.9;83;30;--;0;--;28;No;00:23:28;1;30;00:20:28;00:23:28;270;291
Running;01.07.2025 21:10;FALSE;Basel Running;13.02;1,044;01:45:37;152;170;3.8;148;176;8:07;5:38;143;143;0.83;0;15,634;29;No;00:00:08;14;34;01:44:17;01:47:26;278;415
Cycling;30.06.2025 19:55;FALSE;Muttenz Cycling;7.27;195;00:21:48;127;150;2.2;--;--;20.0;33.8;30;59;--;0;--;32;No;00:21:48;1;36;00:19:45;00:21:48;265;291
Running;26.06.2025 19:37;FALSE;Basel Running;5.14;425;00:33:50;165;187;3.8;143;221;6:35;3:35;29;27;1.04;0;4,864;30;No;00:01:12;13;33;00:33:41;00:33:50;209;227
Running;22.06.2025 13:43;FALSE;Basel Running;11.89;1,035;01:40:02;155;178;3.9;143;175;8:25;5:26;136;130;0.83;0;14,424;33;No;00:00:01;14;39;01:39:02;01:41:35;275;403
Running;19.06.2025 10:17;FALSE;Basel Running;6.46;636;00:54:16;158;191;3.9;134;209;8:24;2:38;53;52;0.88;0;7,396;26;No;00:00:30;14;32;00:53:02;00:54:28;279;322
Running;11.06.2025 16:40;FALSE;Basel Running;6.4;625;00:48:11;167;196;4.4;138;212;7:32;2:52;43;71;0.96;0;6,764;31;No;00:00:21;13;35;00:47:02;00:48:11;277;316
Running;31.05.2025 21:05;FALSE;Allschwil Running;4.6;353;00:36:14;141;158;2.3;147;158;7:53;5:37;65;79;0.86;0;5,352;27;No;00:09:32;3;28;00:36:13;00:36:14;311;387
Running;25.05.2025 09:45;FALSE;Basel Running;21.5;1,887;02:14:01;174;195;5;160;190;6:14;3:45;105;109;1.00;0;21,472;23;No;00:00:01;17;29;02:13:58;02:14:03;248;273
Running;18.05.2025 12:51;FALSE;Basel Running;14.01;1,105;01:43:59;149;162;3.7;155;169;7:25;5:27;163;158;0.87;0;16,118;27;No;00:08:55;9;33;01:43:50;01:44:03;280;434
Running;16.05.2025 15:13;FALSE;Basel Running;5.04;400;00:38:50;144;158;2.6;148;160;7:42;4:11;35;19;0.88;0;5,742;27;No;00:01:35;4;33;00:38:26;00:38:50;277;287
Running;11.05.2025 12:40;FALSE;Basel Running;19.03;1,548;02:12:32;153;170;4.8;157;185;6:58;4:13;240;233;0.91;0;20,816;28;No;00:00:01;17;34;02:12:13;02:12:32;276;431
Running;09.05.2025 14:19;FALSE;Basel Running;7.29;631;00:50:09;146;160;3.5;151;163;6:53;4:47;50;43;0.96;0;7,612;26;No;00:06:34;5;34;00:49:49;00:50:26;278;320
eBiking;16.04.2025 13:13;FALSE;Morschach eBiking;4.23;98;00:21:44;89;115;0.4;--;--;11.7;42.6;17;15;--;0;--;26;No;00:21:44;1;29;00:15:24;00:21:51;638;643
Hiking;15.04.2025 11:27;FALSE;Morschach Hiking;3.48;255;01:25:48;78;113;0.2;42;214;24:37;3:12;70;283;0.96;0;4,016;24;No;01:25:48;1;32;00:39:10;01:25:48;426;715
Hiking;14.04.2025 11:48;FALSE;Morschach Hiking;9.47;659;02:29:50;93;121;0.7;77;207;15:49;8:19;387;362;0.82;0;11,924;23;No;02:29:50;1;36;01:58:23;03:24:42;641;879
Hiking;13.04.2025 11:16;FALSE;Morschach Hiking;7.48;676;04:19:38;75;114;0.2;23;167;34:43;1:14;197;171;1.26;0;6,846;28;No;04:19:38;1;33;01:06:57;04:19:38;638;746
